practiceListA,practiceListA0,practiceListA1,practiceListA2,practiceListA3,practiceListA4,practiceListA5,practiceListA6,practiceListA7,syllabification,corrSyl,corrAns,keyCVC,keyCV,Condition,pracTarLoop.thisRepN,pracTarLoop.thisTrialN,pracTarLoop.thisN,pracTarLoop.thisIndex,pracTrialLoop.thisRepN,pracTrialLoop.thisTrialN,pracTrialLoop.thisN,pracTrialLoop.thisIndex,expTarLoop.thisRepN,expTarLoop.thisTrialN,expTarLoop.thisN,expTarLoop.thisIndex,sylPracLoop.thisRepN,sylPracLoop.thisTrialN,sylPracLoop.thisN,sylPracLoop.thisIndex,syllableLoop.thisRepN,syllableLoop.thisTrialN,syllableLoop.thisN,syllableLoop.thisIndex,sylExp_key_resp.keys,sylExp_key_resp.corr,sylExp_key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje,,,,,,,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem8,donaire,pureza,devillo,foscillo,cigoto,nocena,galgango,vaquilla,,,,,,,0,0,0,0,0,1,1,8,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta,,,,,,,0,0,0,0,0,2,2,7,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem2,confianza,rivera,farime,tarsallo,sarcasmo,bascana,purjida,tungsteno,,,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem4,poniente,largueza,mordiso,cortupto,sordera,rorencio,dabtura,ropero,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem3,congreso,vergüenza,deciro,sutnido,gozada,gaferdo,vavipo,varilla,,,,,,,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
carrierItem,silbido,cosigna,sildedo,venuro,venado,delbides,coserna,deltoides,,,,,,,0,0,0,0,0,6,6,0,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem1,bacteria,farsante,nencida,parvaza,campaña,gimega,navura,burrada,,,,,,,0,0,0,0,0,7,7,1,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem9,recodo,percance,rofiolo,tosaba,cornisa,ricobo,binima,sufragio,,,,,,,0,0,0,0,0,8,8,9,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
filleritem6,reguero,regato,tocida,simona,cizalla,vantema,dezida,ramaje,,,,,,,0,0,0,0,0,9,9,6,,,,,,,,,,,,,,,,part001,A,2019_Mar_05_1002,Syllabification,3.0.5,60.0202682446246,
