stimuliPractice0,stimuliPractice1,stimuliList,stimuliA0,stimuliA1,stimuliA2,stimuliA3,stimuliA4,stimuliA5,stimuliA6,stimuliA7,stimuliA8,stimuliA9,stimuliA10,stimuliA11,stimuliA12,stimuliA13,stimuliA14,stimuliA15,stimuliA16,stimuliA17,stimuliA18,stimuliA19,stimuliA20,stimuliA21,stimuliA22,stimuliA23,syllabification,corrSyl,corrAns,keyCVC,keyCV,pracTarLoop.thisRepN,pracTarLoop.thisTrialN,pracTarLoop.thisN,pracTarLoop.thisIndex,pracTrialLoop.thisRepN,pracTrialLoop.thisTrialN,pracTrialLoop.thisN,pracTrialLoop.thisIndex,expTarLoop.thisRepN,expTarLoop.thisTrialN,expTarLoop.thisN,expTarLoop.thisIndex,expTrialLoop.thisRepN,expTrialLoop.thisTrialN,expTrialLoop.thisN,expTrialLoop.thisIndex,sylPracLoop.thisRepN,sylPracLoop.thisTrialN,sylPracLoop.thisN,sylPracLoop.thisIndex,syllableLoop.thisRepN,syllableLoop.thisTrialN,syllableLoop.thisN,syllableLoop.thisIndex,startPrac.keys,startPrac.rt,startExpTrials.keys,startExpTrials.rt,exp_key_resp.keys,exp_key_resp.rt,sylPracStart.keys,sylPracStart.rt,sylExpStart.keys,sylExpStart.rt,sylExp_key_resp.keys,sylExp_key_resp.corr,sylExp_key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,4.178051525002957,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
zarcillo,jasmina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
ponencia,sandalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
jarana,jaqueca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
secano,pocilga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
pandilla,suspenso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
cornisa,zarzuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
ranura,piropo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
sarcasmo,pancarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
fondillo,captura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
deltoides,delirio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
pimienta,cirilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,10,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
pimiento,piragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,11,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
del,de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
fondillo,captura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
pandilla,suspenso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
sarcasmo,pancarta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,part003,A,2019_Feb_27_1504,Syllabification,3.0.5,60.08579590743604,
