,syllabification,corrSyl,corrAns,keyCVC,keyCV,Condition
0,baldosa,bal,1.0,bal,ba,B
1,palmera,pal,1.0,pal,pa,B
2,bolsillo,bol,1.0,bol,bo,B
3,voltaje,vol,1.0,vol,vo,B
4,culpable,cul,1.0,cul,cu,B
5,garganta,gar,1.0,gar,ga,B
6,cerveza,cer,1.0,cer,ce,B
7,permiso,per,1.0,per,pe,B
8,corbata,cor,1.0,cor,co,B
9,corteza,cor,1.0,cor,co,B
10,jornada,jor,1.0,jor,jo,B
11,morcillo,mor,1.0,mor,mo,B
12,muralla,mu,2.0,mur,mu,B
13,ceniza,ce,2.0,cen,ce,B
14,linaje,li,2.0,lin,li,B
15,moneda,mo,2.0,mon,mo,B
16,camisa,ca,2.0,cam,ca,B
17,limosna,li,2.0,lim,li,B
18,casilla,ca,2.0,cas,ca,B
19,peseta,pe,2.0,pes,pe,B
20,cosecha,co,2.0,cos,co,B
21,rosario,ro,2.0,ros,ro,B
22,ganancia,ga,2.0,gan,ga,B
23,pasaje,pa,2.0,pas,pa,B
