,syllabification,corrSyl,corrAns,keyCVC,keyCV,Condition
0,balada,ba,2.0,bal,ba,C
1,paloma,pa,2.0,pal,pa,C
2,bolero,bo,2.0,bol,bo,C
3,volante,vo,2.0,vol,vo,C
4,culebra,cu,2.0,cul,cu,C
5,garaje,ga,2.0,gar,ga,C
6,cereza,ce,2.0,cer,ce,C
7,pereza,pe,2.0,per,pe,C
8,coraje,co,2.0,cor,co,C
9,corona,co,2.0,cor,co,C
10,joroba,jo,2.0,jor,jo,C
11,morera,mo,2.0,mor,mo,C
12,murmullo,mur,1.0,mur,mu,C
13,centavo,cen,1.0,cen,ce,C
14,linterna,lin,1.0,lin,li,C
15,montaña,mon,1.0,mon,mo,C
16,campana,cam,1.0,cam,ca,C
17,limpieza,lim,1.0,lim,li,C
18,castillo,cas,1.0,cas,ca,C
19,pestaña,pes,1.0,pes,pe,C
20,costilla,cos,1.0,cos,co,C
21,rosquilla,ros,1.0,ros,ro,C
22,ganchillo,gan,1.0,gan,ga,C
23,pastilla,pas,1.0,pas,pa,C
