,syllabification,corrSyl,corrAns,keyCVC,keyCV,Condition
0,balada,ba,2.0,bal,ba,D
1,paloma,pa,2.0,pal,pa,D
2,bolero,bo,2.0,bol,bo,D
3,volante,vo,2.0,vol,vo,D
4,culebra,cu,2.0,cul,cu,D
5,garaje,ga,2.0,gar,ga,D
6,cereza,ce,2.0,cer,ce,D
7,pereza,pe,2.0,per,pe,D
8,coraje,co,2.0,cor,co,D
9,corona,co,2.0,cor,co,D
10,joroba,jo,2.0,jor,jo,D
11,morera,mo,2.0,mor,mo,D
12,murmullo,mur,1.0,mur,mu,D
13,centavo,cen,1.0,cen,ce,D
14,linterna,lin,1.0,lin,li,D
15,montaña,mon,1.0,mon,mo,D
16,campana,cam,1.0,cam,ca,D
17,limpieza,lim,1.0,lim,li,D
18,castillo,cas,1.0,cas,ca,D
19,pestaña,pes,1.0,pes,pe,D
20,costilla,cos,1.0,cos,co,D
21,rosquilla,ros,1.0,ros,ro,D
22,ganchillo,gan,1.0,gan,ga,D
23,pastilla,pas,1.0,pas,pa,D
