,syllabification,corrSyl,corrAns,keyCVC,keyCV,Condition
72,balada,ba,2.0,bal,ba,D
73,paloma,pa,2.0,pal,pa,D
74,bolero,bo,2.0,bol,bo,D
75,volante,vo,2.0,vol,vo,D
76,culebra,cu,2.0,cul,cu,D
77,garaje,ga,2.0,gar,ga,D
78,cereza,ce,2.0,cer,ce,D
79,pereza,pe,2.0,per,pe,D
80,coraje,co,2.0,cor,co,D
81,corona,co,2.0,cor,co,D
82,joroba,jo,2.0,jor,jo,D
83,morera,mo,2.0,mor,mo,D
84,murmullo,mur,1.0,mur,mu,D
85,centavo,cen,1.0,cen,ce,D
86,linterna,lin,1.0,lin,li,D
87,montaña,mon,1.0,mon,mo,D
88,campana,cam,1.0,cam,ca,D
89,limpieza,lim,1.0,lim,li,D
90,castillo,cas,1.0,cas,ca,D
91,pestaña,pes,1.0,pes,pe,D
92,costilla,cos,1.0,cos,co,D
93,rosquilla,ros,1.0,ros,ro,D
94,ganchillo,gan,1.0,gan,ga,D
95,pastilla,pas,1.0,pas,pa,D
